tripID,startTime,endTime,startStationID,endStationID,start_lat,start_lng,end_lat,end_lng,stationID,type,latitude,longitude,time
EC4A01E05E8DCF07,2023-09-01 07:16:00,2023-09-01 07:29:43,M32056,M32087,42.39121,-71.122608,42.374339,-71.119664,,,,,
C13295FE3B0C0062,2023-09-01 07:16:16,2023-09-01 07:32:10,C32003,M32005,42.348074,-71.07657,42.362131,-71.091156,,,,,
9D4CF43DA5C71C9B,2023-09-01 07:16:21,2023-09-01 07:31:05,K32012,M32061,42.340122,-71.120706,42.361358,-71.096703,,,,,
39650800D02A5113,2023-09-01 07:16:23,2023-09-01 07:23:22,M32031,M32068,42.388966,-71.132788,42.382944,-71.124498,,,,,
E607265ECBA75AD6,2023-09-01 07:16:41,2023-09-01 07:38:45,D32014,M32076,42.354979,-71.063348,42.357662,-71.108413,,,,,
27AA2A0CD5D33284,2023-09-01 07:18:13,2023-09-01 07:36:31,S32013,M32033,42.397783,-71.10594,42.396105,-71.139459,,,,,
5BE1EE9CCD0A6983,2023-09-01 07:18:41,2023-09-01 07:37:56,M32055,A32009,42.365994,-71.095222,42.341332,-71.076847,,,,,
1F2708BB50C84933,2023-09-01 07:18:44,2023-09-01 07:25:05,M32042,M32005,42.355601,-71.103945,42.362131,-71.091156,,,,,
545ECE886B0311CF,2023-09-01 07:18:46,2023-09-01 07:40:21,K32012,M32048,42.340122,-71.120706,42.365445,-71.082771,,,,,
08D0AF2C3D2882E2,2023-09-01 07:18:58,2023-09-01 07:37:13,M32042,A32011,42.355601,-71.103945,42.363713,-71.124598,,,,,
E22FD60EE5F5A2FE,2023-09-01 07:19:40,2023-09-01 07:44:04,M32041,M32009,42.359573,-71.101295,42.363465,-71.100573,,,,,
D3BA509C457CC4CF,2023-09-01 07:19:51,2023-09-01 07:23:56,B32016,M32006,42.350827,-71.089811,42.3581,-71.093198,,,,,
DFD6A0D89C337FC0,2023-09-01 07:19:52,2023-09-01 07:38:18,C32004,M32062,42.340814,-71.08162,42.374267,-71.100265,,,,,
784ED317CC6A1413,2023-09-01 07:20:05,2023-09-01 07:30:26,M32012,M32071,42.366426,-71.105495,42.360859,-71.085519,,,,,
B44E87C5A27182E5,2023-09-01 07:20:32,2023-09-01 07:38:43,L32005,M32017,42.400168,-71.14457,42.373329,-71.120986,,,,,
3EE2229862B25CF6,2023-09-01 07:20:49,2023-09-01 07:33:35,S32004,M32005,42.383639,-71.108537,42.362131,-71.091156,,,,,
E145BD0E5C320FDF,2023-09-01 07:21:00,2023-09-01 07:32:07,C32004,M32061,42.340814,-71.08162,42.361358,-71.096703,,,,,
2632ADC116B09D52,2023-09-01 07:21:45,2023-09-01 07:45:59,M32042,A32002,42.355601,-71.103945,42.351692,-71.119035,,,,,
99179B4BF1B4CD10,2023-09-01 07:21:54,2023-09-01 07:24:10,M32004,M32005,42.362428,-71.084955,42.362131,-71.091156,,,,,
8CB0654A2D99CD67,2023-09-01 07:22:12,2023-09-01 07:29:37,M32076,M32005,42.357662,-71.108413,42.362131,-71.091156,,,,,
139B3D8B683DA875,2023-09-01 07:22:15,2023-09-01 07:37:01,C32003,M32012,42.348074,-71.07657,42.366426,-71.105495,,,,,
D906B080940ECD1D,2023-09-01 07:22:39,2023-09-01 07:43:28,M32052,A32046,42.371197,-71.097599,42.365301,-71.060922,,,,,
7CFC5768B9ABF67E,2023-09-01 07:22:45,2023-09-01 07:27:57,M32059,D32016,42.363693,-71.087567,42.360793,-71.07119,,,,,
FF9A7821C47AF8B7,2023-09-01 07:22:49,2023-09-01 07:40:57,M32079,M32040,42.38737,-71.12761,42.362648,-71.100061,,,,,
585F496939AE7E06,2023-09-01 07:22:50,2023-09-01 07:36:31,M32011,D32013,42.36507,-71.1031,42.351142,-71.073292,,,,,
567311DD162BB2A3,2023-09-01 07:23:11,2023-09-01 07:48:12,C32004,M32021,42.340814,-71.08162,42.376369,-71.114025,,,,,
9A1DF5CCA3669CE6,2023-09-01 07:23:44,2023-09-01 07:27:01,M32030,M32041,42.36178,-71.1081,42.359573,-71.101295,,,,,
1B3592F4A2EFA207,2023-09-01 07:23:53,2023-09-01 07:29:06,M32078,M32006,42.36642,-71.088542,42.3581,-71.093198,,,,,
2E8A316ABD4112D9,2023-09-01 07:24:01,2023-09-01 07:33:12,M32039,A32052,42.386748,-71.119019,42.368019,-71.1242,,,,,
CD89AADE69747420,2023-09-01 07:24:12,2023-09-01 07:33:03,M32061,M32072,42.361358,-71.096703,42.363004,-71.08974,,,,,
366922F4F96CAD0F,2023-09-01 07:24:15,2023-09-01 07:38:08,M32049,D32023,42.371977,-71.072005,42.378338,-71.048927,,,,,
736BD088BA429C06,2023-09-01 07:24:36,2023-09-01 07:37:28,A32040,M32023,42.360274,-71.128525,42.377945,-71.116865,,,,,
C64A76D403B66276,2023-09-01 07:24:37,2023-09-01 07:34:43,A32025,M32083,42.365673,-71.064263,42.369036,-71.08631,,,,,
814C58156E66BB78,2023-09-01 07:25:09,2023-09-01 07:36:00,M32065,M32006,42.369553,-71.08579,42.3581,-71.093198,,,,,
D63FF317E832445D,2023-09-01 07:25:51,2023-09-01 07:42:41,B32010,M32053,42.348706,-71.097009,42.361619,-71.080436,,,,,
B314EF5527050CAA,2023-09-01 07:26:00,2023-09-01 07:29:41,M32003,M32002,42.362242,-71.083111,42.366277,-71.09169,,,,,
5DA6748CB482963E,2023-09-01 07:26:59,2023-09-01 07:37:16,D32055,M32006,42.350193,-71.077442,42.3581,-71.093198,,,,,
05D1F496A7FFFEB0,2023-09-01 07:27:01,2023-09-01 07:32:42,M32067,M32059,42.372077,-71.089954,42.363693,-71.087567,,,,,
D45061B50B6A4016,2023-09-01 07:27:16,2023-09-01 07:37:29,M32041,M32071,42.359573,-71.101295,42.360859,-71.085519,,,,,
26B40579E120DB40,2023-09-01 07:28:13,2023-09-01 07:41:09,M32044,M32017,42.381651,-71.13427,42.373329,-71.120986,,,,,
2BB58AD67263508F,2023-09-01 07:28:33,2023-09-01 07:39:40,M32055,B32000,42.365994,-71.095222,42.348717,-71.085954,,,,,
850D4B2A9AF13E97,2023-09-01 07:28:36,2023-09-01 07:54:43,M32021,D32000,42.376369,-71.114025,42.361257,-71.065287,,,,,
F50109F232E7DE84,2023-09-01 07:28:44,2023-09-01 07:31:24,M32026,M32012,42.370803,-71.104412,42.366426,-71.105495,,,,,
